Time,S1_N,S2_N,S3_N,S4_N,Total_N,Accel_X,Accel_Y,Accel_Z,Real_Hz
00:57.2,0.76,5.21,0,0,5.97,0.51,6.32,9.41,5
00:57.4,1.09,6.01,0,0,7.1,0.35,6.55,9.69,8.6
00:57.5,1.38,7.33,0,0,8.71,0.67,7.3,9.89,9.4
00:57.7,0,0.23,0,0,0.23,0.12,2.24,4.9,5.1
00:57.8,0,0,0,0,0,3.8,9.49,-0.39,8.8
00:57.9,0,0,0,0,0,1.02,13.14,9.49,9.5
00:58.1,0,0,0,0,0,-6.67,3.73,5.61,5
00:58.2,0,0,0,0,0,1.02,9.73,5.96,8.8
00:58.3,0,0.49,2.65,0,3.14,0.67,9.41,5.96,9.4
00:58.5,0,3.21,7.66,1.35,12.22,0.94,9.26,6.04,5
00:58.6,0.82,6.5,23.48,3.44,34.24,1.06,9.14,6.24,8.6
00:58.7,3.41,9.71,31.84,5.22,50.18,1.06,9.06,6.28,9.3
00:58.9,6.54,20.46,35.52,5.19,67.71,0.86,9.14,6.12,5.1
