Time,S1_N,S2_N,S3_N,S4_N,Total_N,Accel_X,Accel_Y,Accel_Z,Real_Hz
01:16.4,0,0,0,0,0,1.06,10.47,8.67,9.3
01:16.6,0,0,0,0,0,0.67,8.75,7.3,4.9
01:16.7,0,0,0,0,0,0.63,9.38,8.39,8.8
01:16.8,0,0,0,0,0,2.31,9.57,10.43,9.3
01:17.0,0,0,0,0,0,0.47,8.9,5.84,5
01:17.1,0,0,0,0,0,0.78,9.73,6.83,8.8
01:17.3,0,1.76,2.56,2.81,7.12,0.63,9.14,5.84,9.3
01:17.5,1.01,4.35,7.13,5.4,17.89,0.78,9.1,6.16,5
01:17.6,3.44,7.57,22.57,5.56,39.14,0.78,9.1,6.35,8.8
01:17.7,6.48,20.67,32.43,0.78,60.36,1.06,8.94,6.51,8.9
01:17.7,17.18,27.62,39.02,0,83.83,0.59,9.1,6.59,20
01:17.9,22.92,34.19,20.61,0,77.71,1.37,9.38,7.22,5
01:18.0,25.83,39.51,4.47,0,69.82,0.71,8.83,7.65,8.8
01:18.2,20.83,40.17,0,0,61,1.57,10.71,8.47,9.3
01:18.4,0,0.47,0,0,0.47,-3.06,0.31,0.24,5
01:18.5,0,0,0,0,0,1.33,7.88,2.35,8.8
01:18.6,0,0,0,0,0,2.39,12,7.73,9.3
01:18.8,0,0,0,0,0,1.61,10.51,7.77,5
01:18.9,0,0,0,0,0,1.1,9.61,8.79,8.8
01:19.0,0,0,0,0,0,1.37,5.37,8.04,9.2
01:19.2,0,0,0,0,0,0.86,9.81,4.86,5
01:19.3,0,0,0,0,0,0.31,9.3,5.73,8.8
01:19.4,0,0.02,1.77,2.95,4.74,0.31,9.45,5.65,9.3
01:19.6,0,2.45,6.4,3.74,12.6,0.55,9.26,6.04,5
01:19.7,0.29,5.84,20.26,2.01,28.4,1.69,8.79,6.47,8.8
01:19.9,3.35,9.76,24.73,0,37.84,1.33,8.83,6.98,9.1
01:20.0,7.81,23.25,18.22,0,49.28,1.45,9.18,6.71,5.1
01:20.2,22.62,27.75,4.71,0,55.09,1.49,9.02,6.83,8.5
01:20.3,30.2,30.6,0.82,0,61.62,1.57,8.98,7.22,9.1
01:20.5,27.81,20.02,0,0,47.84,0.78,10.32,8.32,5
01:20.6,8.74,4.58,0,0,13.32,2.59,7.22,11.22,8.8
01:20.7,0,0,0,0,0,1.06,-3.73,0.67,9.2
01:20.9,0,0,0,0,0,2.59,11.02,6.12,4.9
01:21.0,0,0,0,0,0,2.43,11.81,7.02,8.8
01:21.1,0,0,0,0,0,3.1,10.75,7.57,9.2
01:21.3,0,0,0,0,0,6.39,21.06,10.9,5
01:21.4,0,0,0,0,0,1.14,9.53,5.14,8.6
01:21.5,0,0,0,0,0,0.39,9.26,5.77,9.2
01:21.8,0,1.07,0.51,2.48,4.06,0.86,9.06,6.2,4.8
01:21.9,0,3.83,4.12,3.56,11.5,0.9,8.98,6.04,8.8
01:22.0,2.93,7.6,8.15,0.01,18.68,1.18,9.14,6.35,9.2
01:22.2,6.82,21.52,1.58,0,29.92,0.35,8.08,7.3,5
01:22.3,18.01,28.57,0,0,46.58,0.63,7.85,7.81,8.8
01:22.4,21.49,33.76,0,0,55.25,0.78,6.51,8.24,9.2
01:22.6,23.66,30.56,0,0,54.22,0.47,12.79,10.04,5
01:22.7,6.1,6.7,0,0,12.8,3.22,4.55,11.22,8.5
01:22.8,0,0,0,0,0,0.16,-9.96,2.59,9.2
01:23.0,0,0,0,0,0,1.53,11.49,7.02,5
01:23.1,0,0,0,0,0,2.08,13.1,10.04,8.8
01:23.3,0,0,0,0,0,2.24,10.4,8.71,9.2
01:23.4,0,0,0,0,0,10.51,13.93,14.55,5.1
01:23.6,0,0,0,0,0,0.47,9.77,4.59,8.8
01:23.7,0,0.23,0,0,0.23,0.63,9.26,5.18,9.2
01:23.9,0.23,2.42,0.16,2.56,5.36,0.67,9.1,5.96,5.1
01:24.2,3.22,6.39,0.79,0,10.4,0.86,9.18,7.57,3.4
01:24.4,5.43,19.92,0,0,25.35,0.43,6.71,8.04,4.9
01:24.5,7.18,28.02,0,0,35.2,0.31,6.86,8.55,8.6
01:24.6,8.57,34.85,0,0,43.42,0.47,7.61,8.98,9.3
01:24.8,8.96,35.96,0,0,44.93,1.26,14.08,11.06,5
01:24.9,0,2.05,0,0,2.05,0.71,2.94,11.22,8.8
01:25.0,0,0,0,0,0,1.37,-9.49,-1.77,9.2
01:25.2,0,0,0,0,0,1.84,10.67,7.06,5
01:25.3,0,0,0,0,0,1.57,13.18,9.45,8.7
01:25.4,0,0,0,0,0,2.59,10.43,9.73,9
